"","ID","mean","sd","0.025quant","0.5quant","0.975quant","mode","kld","day","ara1","ara_name","ara_id","kt","NUTS2_name","n","date","period"
"1",0,0.354965268405512,0.359117580393316,-0.349415112994129,0.354994836154736,1.05917858599365,0.355054217281643,4.85309944438563e-11,0,1,"Aarau","400100","AG","Northwest",338,2022-02-07,"1"
"2",1,0.373766443074815,0.335964949547015,-0.285197822511859,0.373793071404192,1.0325802379251,0.373846535226501,4.92419906022823e-11,1,1,"Aarau","400100","AG","Northwest",338,2022-02-08,"1"
"3",2,0.401463043208165,0.323929964552312,-0.233907372272985,0.401492404121493,1.03666752580976,0.401551333455815,4.86007922283348e-11,2,1,"Aarau","400100","AG","Northwest",338,2022-02-09,"1"
"4",3,0.452332507687463,0.317438655882219,-0.170316888773592,0.452364432996442,1.07480144411875,0.452428474874022,4.71672644094845e-11,3,1,"Aarau","400100","AG","Northwest",338,2022-02-10,"1"
"5",4,0.553736870050621,0.309843012531166,-0.0539919968871806,0.553759717443611,1.16133658050778,0.553805539399008,4.55697018218779e-11,4,1,"Aarau","400100","AG","Northwest",338,2022-02-11,"1"
"6",5,0.656534771224897,0.308905183912015,0.0506629992231757,0.656550029615844,1.26232025919591,0.656580603151878,4.28497320574401e-11,5,1,"Aarau","400100","AG","Northwest",338,2022-02-12,"1"
"7",6,0.759411168347228,0.29750380255953,0.175930613938391,0.759415726894178,1.3428659316264,0.759424846817731,4.29381408240012e-11,6,1,"Aarau","400100","AG","Northwest",338,2022-02-13,"1"
"8",7,0.854676759411589,0.290997024094443,0.283979280885788,0.854673351421855,1.425393490873,0.85466650126085,4.25012722307898e-11,7,1,"Aarau","400100","AG","Northwest",338,2022-02-14,"1"
"9",8,0.92610811402832,0.29013457050941,0.357108319473192,0.926101844314647,1.49514326004356,0.926089180042591,4.12647968832746e-11,8,1,"Aarau","400100","AG","Northwest",338,2022-02-15,"1"
"10",9,1.00494444973512,0.289253317059032,0.437687648815353,1.00493243121528,1.5722690436899,1.00490818418545,4.03163916385215e-11,9,1,"Aarau","400100","AG","Northwest",338,2022-02-16,"1"
"11",10,1.14079560628474,0.280218855188095,0.591318450357602,1.14076262104749,1.69045913911197,1.14069638296863,4.27593352922698e-11,10,1,"Aarau","400100","AG","Northwest",338,2022-02-17,"1"
"12",11,1.20545500505481,0.279573562812872,0.657262395013302,1.20541530138711,1.75387197312726,1.20533559315853,4.338025783283e-11,11,1,"Aarau","400100","AG","Northwest",338,2022-02-18,"1"
"13",12,1.14733412608172,0.295288474386196,0.568267100319857,1.14731181953886,1.7265270200109,1.14726686290271,3.87456857869306e-11,12,1,"Aarau","400100","AG","Northwest",338,2022-02-19,"1"
"14",13,1.08929297774186,0.298822913696327,0.503228850081633,1.08929352772677,1.67535372002661,1.08929436617364,3.77904771616867e-11,13,1,"Aarau","400100","AG","Northwest",338,2022-02-20,"1"
"15",14,1.10508350663854,0.294061829634257,0.528361237410581,1.10508326633149,1.68180691997582,1.10508257851934,3.90936234080281e-11,14,1,"Aarau","400100","AG","Northwest",338,2022-02-21,"1"
"16",15,1.14753394062527,0.288261778231504,0.582213526450458,1.14752479201499,1.71290593654945,1.14750631260938,4.01483398113542e-11,15,1,"Aarau","400100","AG","Northwest",338,2022-02-22,"1"
"17",16,1.21030317368363,0.280843856401999,0.659574296981607,1.21027930384345,1.76116696111252,1.21023140522579,4.19439031728084e-11,16,1,"Aarau","400100","AG","Northwest",338,2022-02-23,"1"
"18",17,1.23443082904234,0.278537921767573,0.688244774545189,1.23439988349644,1.78079186259064,1.23433786134707,4.2707813857226e-11,17,1,"Aarau","400100","AG","Northwest",338,2022-02-24,"1"
"19",18,1.21196234734881,0.281648108410731,0.659671331156667,1.21193305049082,1.76441906730122,1.21187437721392,4.21608948632494e-11,18,1,"Aarau","400100","AG","Northwest",338,2022-02-25,"1"
"20",19,1.13789408915516,0.292881359129211,0.563534792739854,1.13787697975428,1.71235021556224,1.13784276854519,3.94244841698236e-11,19,1,"Aarau","400100","AG","Northwest",338,2022-02-26,"1"
"21",20,1.0639055761621,0.291698151275769,0.49182683427111,1.06390316911028,1.6359980669601,1.0638984735259,4.01416556926788e-11,20,1,"Aarau","400100","AG","Northwest",338,2022-02-27,"1"
"22",21,1.01500008817811,0.289755347580793,0.446714864652292,1.01500403871843,1.58326311377882,1.0150120872632,4.09819323892025e-11,21,1,"Aarau","400100","AG","Northwest",338,2022-02-28,"1"
"23",22,0.982209432812008,0.288149119808441,0.417069555190678,0.982215314531314,1.54731617434076,0.982227216096347,4.14459988448556e-11,22,1,"Aarau","400100","AG","Northwest",338,2022-03-01,"1"
"24",23,0.963132346123358,0.28703467002655,0.400181427380465,0.963137135470493,1.52605627340715,0.963146817315485,4.15706235719145e-11,23,1,"Aarau","400100","AG","Northwest",338,2022-03-02,"1"
"25",24,0.963043417883819,0.285134801682211,0.403836552312676,0.963041991017847,1.52225844896099,0.963039221132489,4.18406271810426e-11,24,1,"Aarau","400100","AG","Northwest",338,2022-03-03,"1"
"26",25,0.953439713782676,0.28681997996044,0.390938923260851,0.953434094852411,1.51597242296083,0.953422969780083,4.13164740677721e-11,25,1,"Aarau","400100","AG","Northwest",338,2022-03-04,"1"
"27",26,0.943091982120174,0.291375486889656,0.371668419994239,0.94308151838792,1.51457495111564,0.943060772100894,3.99334634124807e-11,26,1,"Aarau","400100","AG","Northwest",338,2022-03-05,"1"
"28",27,0.932823469996153,0.283554527117848,0.376749854379258,0.932809812651552,1.48897458820425,0.932782701403261,4.16098429918117e-11,27,1,"Aarau","400100","AG","Northwest",338,2022-03-06,"1"
"29",28,0.908543592751363,0.280023515521902,0.359397141724758,0.908529440349223,1.45777037318804,0.908501362976376,4.21178225094332e-11,28,1,"Aarau","400100","AG","Northwest",338,2022-03-07,"1"
"30",29,0.871321088116278,0.279338932524528,0.323512984592646,0.871308494517522,1.41920072223234,0.871283555812706,4.21626633236242e-11,29,1,"Aarau","400100","AG","Northwest",338,2022-03-08,"1"
"31",30,0.84045727700943,0.278181904944215,0.294921762257294,0.84044375562501,1.38606954066371,0.840416931098103,4.27765461881829e-11,30,1,"Aarau","400100","AG","Northwest",338,2022-03-09,"1"
