"","ID","mean","sd","0.025quant","0.5quant","0.975quant","mode","kld","day","ara1","ara_name","ara_id","kt","NUTS2_name","n","date","period"
"1",329,-1.69009103966068,0.263158912945478,-2.20620645233658,-1.69008640832722,-1.17400181294782,-1.69007712325988,4.92215679840146e-11,329,1,"Aarau","400100","AG","Northwest",338,2023-01-02,"4"
"2",330,-1.75330032661428,0.264388117223012,-2.27183060174036,-1.75329436028405,-1.2348037842845,-1.75328239781202,4.89117371664981e-11,330,1,"Aarau","400100","AG","Northwest",338,2023-01-03,"4"
"3",331,-1.80396523466334,0.266899906371244,-2.3274255021514,-1.80395790461651,-1.28054642095318,-1.80394321812834,4.88922564518323e-11,331,1,"Aarau","400100","AG","Northwest",338,2023-01-04,"4"
"4",332,-1.85064263793366,0.273186570834742,-2.38644860328742,-1.85062980062328,-1.31490927719736,-1.85060408557739,4.83773680040974e-11,332,1,"Aarau","400100","AG","Northwest",338,2023-01-05,"4"
"5",333,-1.85500127821532,0.277304355148514,-2.3988831504105,-1.85498840622094,-1.3111922229869,-1.85496263699859,4.83245919540166e-11,333,1,"Aarau","400100","AG","Northwest",338,2023-01-06,"4"
"6",334,-1.85360231861141,0.287741915046695,-2.41797281559626,-1.85358366256306,-1.28933734881348,-1.85354630533423,4.68225844665143e-11,334,1,"Aarau","400100","AG","Northwest",338,2023-01-07,"4"
"7",335,-1.79540211044598,0.296017335075246,-2.37599050772303,-1.79538837841894,-1.21489138262551,-1.79536087631542,4.5093859782055e-11,335,1,"Aarau","400100","AG","Northwest",338,2023-01-08,"4"
"8",336,-1.73713017879272,0.295171837518935,-2.31603845403085,-1.73712381841246,-1.15825789779329,-1.73711109806297,4.57085853668927e-11,336,1,"Aarau","400100","AG","Northwest",338,2023-01-09,"4"
"9",337,-1.67878640774769,0.285124813586417,-2.23796793524162,-1.67878664919361,-1.11960355485497,-1.67878717078206,4.86032194690078e-11,337,1,"Aarau","400100","AG","Northwest",338,2023-01-10,"4"
"10",338,-1.69016111080334,0.298651969982286,-2.27590421371468,-1.69015080611425,-1.10447634042656,-1.69013021322001,4.69028256293666e-11,338,1,"Aarau","400100","AG","Northwest",338,2023-01-11,"4"
"11",339,-1.7014638265256,0.303384733017,-2.29651653381364,-1.70144352577657,-1.10652600480158,-1.70140292698325,4.76070201924237e-11,339,1,"Aarau","400100","AG","Northwest",338,2023-01-12,"4"
"12",340,-1.68048750202925,0.314131311023482,-2.29664694367938,-1.6804570908173,-1.06450014474821,-1.68039625750151,4.66969088748056e-11,340,1,"Aarau","400100","AG","Northwest",338,2023-01-13,"4"
"13",341,-1.65943912587064,0.317545400590956,-2.28231314970862,-1.65940185686896,-1.0367759856551,-1.65932730071131,4.74817344315353e-11,341,1,"Aarau","400100","AG","Northwest",338,2023-01-14,"4"
"14",342,-1.59106785453086,0.325428994812287,-2.22941679792625,-1.59102649049598,-0.952952952597795,-1.59094373108251,4.6369740969137e-11,342,1,"Aarau","400100","AG","Northwest",338,2023-01-15,"4"
"15",343,-1.52262427663801,0.326827127364109,-2.16371574937578,-1.52258266676748,-0.88176822726881,-1.52249940680932,4.64920091912444e-11,343,1,"Aarau","400100","AG","Northwest",338,2023-01-16,"4"
"16",344,-1.45410820217952,0.321824712795678,-2.0853761625761,-1.45407028512024,-0.823054768474707,-1.45399440964886,4.7795507087549e-11,344,1,"Aarau","400100","AG","Northwest",338,2023-01-17,"4"
"17",345,-1.34901889655034,0.324486699736994,-1.98550679953646,-1.34898178783442,-0.71274093105657,-1.34890751540416,4.66914934954417e-11,345,1,"Aarau","400100","AG","Northwest",338,2023-01-18,"4"
"18",346,-1.2438566151533,0.320529437483297,-1.87256930651245,-1.24382427804266,-0.615326857383461,-1.24375954612268,4.68902680715796e-11,346,1,"Aarau","400100","AG","Northwest",338,2023-01-19,"4"
"19",347,-1.08866367716702,0.320497174286831,-1.7172853798094,-1.08864169868881,-0.460166302961701,-1.08859769630495,4.53027114316628e-11,347,1,"Aarau","400100","AG","Northwest",338,2023-01-20,"4"
"20",348,-0.933397063331731,0.313517260053645,-1.54829206439175,-0.933388110274091,-0.318552715190809,-0.933370191283865,4.54879976090855e-11,348,1,"Aarau","400100","AG","Northwest",338,2023-01-21,"4"
"21",349,-0.751022698087435,0.314931099185946,-1.36864708061516,-0.751030203098506,-0.133355871643708,-0.75104523809697,4.34037661010686e-11,349,1,"Aarau","400100","AG","Northwest",338,2023-01-22,"4"
"22",350,-0.568573739016198,0.308858267487874,-1.1742372528004,-0.568599399547748,0.0372348940806423,-0.568650806394785,4.36581706231145e-11,350,1,"Aarau","400100","AG","Northwest",338,2023-01-23,"4"
"23",351,-0.38604975813154,0.294836252689502,-0.96417001441708,-0.386089881524426,0.19229738181945,-0.386170287372382,4.63890575855688e-11,351,1,"Aarau","400100","AG","Northwest",338,2023-01-24,"4"
"24",352,-0.216006208431521,0.293831724402901,-0.792105137013769,-0.216065183568393,0.360426180460297,-0.216183381461225,4.70931890463654e-11,352,1,"Aarau","400100","AG","Northwest",338,2023-01-25,"4"
"25",353,-0.0478673223491819,0.28289467287374,-0.602484246569281,-0.047937143244552,0.507144382912248,-0.0480770783960041,5.02214359822159e-11,353,1,"Aarau","400100","AG","Northwest",338,2023-01-26,"4"
"26",354,0.0587875406908388,0.290641264992923,-0.510984203608828,0.0587030517845807,0.629037023621771,0.0585337505726782,4.9972983718662e-11,354,1,"Aarau","400100","AG","Northwest",338,2023-01-27,"4"
"27",355,0.165519071370635,0.287782866531981,-0.398632835167369,0.165429693274612,0.730176346639132,0.165250583252383,5.12092409598519e-11,355,1,"Aarau","400100","AG","Northwest",338,2023-01-28,"4"
"28",356,0.265238858405908,0.293964546268587,-0.310992481410219,0.265132815082278,0.842069788959795,0.264920315660861,5.2532306740677e-11,356,1,"Aarau","400100","AG","Northwest",338,2023-01-29,"4"
"29",357,0.365035891486698,0.289936606834872,-0.203274018222769,0.364922335433916,0.933987833605243,0.364694752168065,5.51664620899333e-11,357,1,"Aarau","400100","AG","Northwest",338,2023-01-30,"4"
"30",358,0.464910393271096,0.275251192399546,-0.0746094838810597,0.464802249063823,1.00504164812378,0.464585452320507,5.81633839657213e-11,358,1,"Aarau","400100","AG","Northwest",338,2023-01-31,"4"
"31",359,0.441132572550813,0.286420072121568,-0.120300110796715,0.441026447509434,1.00316522960817,0.440813709421152,5.46506709049764e-11,359,1,"Aarau","400100","AG","Northwest",338,2023-02-01,"4"
"32",360,0.417432422365898,0.286101947170323,-0.14341872349669,0.417341816488085,0.978795792237031,0.417160165749141,5.20678410512908e-11,360,1,"Aarau","400100","AG","Northwest",338,2023-02-02,"4"
