"","ID","mean","sd","0.025quant","0.5quant","0.975quant","mode","kld","day","ara1","ara_name","ara_id","kt","NUTS2_name","n","date","period"
"1",98,0.128806610025523,0.267357272055636,-0.395614317314829,0.128834908473955,0.653067610363802,0.128891704954157,4.63600590157846e-11,98,1,"Aarau","400100","AG","Northwest",338,2022-05-16,"2"
"2",99,0.251663792015207,0.260040901499734,-0.258361643936782,0.251675450487347,0.761623383144845,0.251698890592539,4.51224024257674e-11,99,1,"Aarau","400100","AG","Northwest",338,2022-05-17,"2"
"3",100,0.381825804179012,0.253419667536377,-0.11516378267489,0.381819485326493,0.878851181411353,0.381806877115232,4.45415589080205e-11,100,1,"Aarau","400100","AG","Northwest",338,2022-05-18,"2"
"4",101,0.508963656345854,0.24693215207335,0.0247485122917419,0.508939254325415,0.993316817588,0.50889038176224,4.54374104043722e-11,101,1,"Aarau","400100","AG","Northwest",338,2022-05-19,"2"
"5",102,0.595714296049915,0.244165942207657,0.116956247289041,0.595678573157378,1.07467435740877,0.595606996891067,4.65808737038828e-11,102,1,"Aarau","400100","AG","Northwest",338,2022-05-20,"2"
"6",103,0.599240546680228,0.250911064170088,0.107250641429583,0.599205409013492,1.09142912108873,0.599134973621172,4.50513557242424e-11,103,1,"Aarau","400100","AG","Northwest",338,2022-05-21,"2"
"7",104,0.572662069624731,0.261804360352448,0.0592949404737902,0.572630573736719,1.08620720622826,0.572567371579576,4.23258918135764e-11,104,1,"Aarau","400100","AG","Northwest",338,2022-05-22,"2"
"8",105,0.546161733337822,0.258043201449684,0.0401464269460122,0.546139679754301,1.05230167426029,0.5460954159078,4.32217151223657e-11,105,1,"Aarau","400100","AG","Northwest",338,2022-05-23,"2"
"9",106,0.500606934085476,0.25955691931138,-0.00840291758960207,0.500593910169525,1.00969034871215,0.500567729940437,4.2527432465589e-11,106,1,"Aarau","400100","AG","Northwest",338,2022-05-24,"2"
"10",107,0.503491947606779,0.254335002470584,0.00473407956823,0.503475810599682,1.00234103177818,0.503443438590317,4.4184605468656e-11,107,1,"Aarau","400100","AG","Northwest",338,2022-05-25,"2"
