"","ara_id","total_pop","prop_under_20","prop_over_65","prop_non_ch_eu","pop_dens"
"1","102400",187664,0.203571276323642,0.31525492369341,0.172547744905789,0.00120539582531993
"2","106500",29560,0.244519621109608,0.286028416779432,0.19137347767253,0.0010461271372269
"3","120101",36232,0.265925149039523,0.420070655773902,0.0889269154338706,3.53593424670848e-05
"4","12101",32438,0.235803687033726,0.322677107096615,0.163974351069733,0.000860176287256381
"5","132200",30427,0.225260459460348,0.364084530187005,0.166266802510928,0.000765046053413659
"6","13301",25570,0.232303480641377,0.320140789988268,0.204341024638248,0.00108006740930165
"7","134400",30767,0.237072187733611,0.326876198524393,0.136574901680372,0.000491387653319053
"8","137200",31201,0.243806288259992,0.362456331527836,0.110220826255569,0.00027620617112489
"9","140100",34200,0.281520467836257,0.40406432748538,0.0934502923976608,9.77526363347023e-05
"10","140200",4293,0.26135569531796,0.485441416259026,0.129979035639413,5.73552914281965e-05
"11","150900",22366,0.246490208351963,0.396986497362067,0.0944290440847715,0.000140878871661267
"12","15601",25536,0.258145363408521,0.38796209273183,0.170661027568922,0.00106725794697517
"13","160200",52727,0.26197204468299,0.420069414152142,0.133442069527946,6.3250510967648e-05
"14","170200",154361,0.228114614442767,0.307253775241155,0.173651375671316,0.000557403170952412
"15","17401",17907,0.229016585692746,0.349974870162506,0.198804936616965,0.000593882137780896
"16","19101",47001,0.213803961617838,0.274717559200868,0.211740175740942,0.0018179446608587
"17","19801",40943,0.224629362772635,0.312556480961336,0.159490022714506,0.00132888671071973
"18","201",19152,0.242951127819549,0.342053049289891,0.177161654135338,0.000645988700541852
"19","216100",37100,0.276819407008086,0.309865229110512,0.147681940700809,0.000302119920574771
"20","219600",43639,0.200554549829281,0.251105662366232,0.217236875272119,0.00260508171909776
"21","23001",139717,0.22291489224647,0.290365524596148,0.184315437634647,0.000826154795637207
"22","24301",84731,0.208825577415586,0.273064167778027,0.246450531682619,0.00188228436422563
"23","250100",54619,0.243157143118695,0.369651586444278,0.19055639978762,0.000631276031889564
"24","253400",95344,0.258789226380265,0.417194579627454,0.142693824467192,0.000424261397727115
"25","254600",47688,0.259960577084382,0.414590672705922,0.172622043281329,0.000356030933113015
"26","26101",475198,0.182296642662637,0.225743795217993,0.218058577687617,0.0043370801156744
"27","270101",262917,0.181699928114196,0.295408817231294,0.205388012186355,0.00403906278456459
"28","276600",83898,0.224963646332451,0.400974993444421,0.157858351808148,0.00105788516110748
"29","277500",25372,0.24617688790793,0.423577171685322,0.131720006306164,0.000817639664650116
"30","279300",25153,0.272253806702978,0.437403093070409,0.1360076332843,0.000211872574449986
"31","282500",35771,0.230549886779794,0.37317939112689,0.182102820720696,0.000912148890366829
